667|Motorola Moto G Dual SIM
422|Nokia Lumia 920
2358|Sony Xperia M2 Aqua
2616|LG G3 Stylus Dual SIM
3995|Huawei G Play Mini
2399|Sony Xperia Z1 Compact
3519|BlackBerry Q10
1249|Samsung Galaxy S5 mini
2356|Sony Xperia L
3216|HTC Desire 510
1101|Samsung Galaxy Grand Neo Plus
4162|Apple iPhone 4 16GB
2930|LG L Fino
2680|LG G Flex
3907|Huawei Ascend G7
3231|HTC Desire 626
2421|Sony Xperia Z4
2431|Sony Xperia Z5 Dual
3510|BlackBerry Passport
4099|Huawei Y635
1161|Samsung Galaxy Note 4
4174|Apple iPhone 5s 16GB
395|Nokia Lumia 510
4166|Apple iPhone 4S 32GB
731|Motorola RAZR D1
428|Nokia Lumia 1020
3327|HTC One M9
4161|Apple iPhone 4 8GB
2360|Sony Xperia M2 D2306
2953|LG Magna LTE
1075|Samsung Galaxy Fame Lite
3499|BlackBerry 9720
1246|Samsung Galaxy S5 LTE-A
2618|LG G4 Beat
3973|Huawei G8
4164|Apple iPhone 4S 8GB
692|Motorola Moto X Play
4045|Huawei P8
417|Nokia Lumia 820
429|Nokia Lumia 1320
2607|LG G3 Beat
2758|LG Joy
1033|Samsung Galaxy Alpha
421|Nokia Lumia 900
3905|Huawei Ascend G6
2364|Sony Xperia M4 Aqua
4181|Apple iPhone 6 Plus 64GB
4165|Apple iPhone 4S 16GB
3521|BlackBerry Z10
3337|HTC One S
2341|Sony Xperia E1
2383|Sony Xperia T3 LTE
1212|Samsung Galaxy S4 4G
669|Motorola Moto G LTE
2362|Sony Xperia M2 LTE
3344|HTC One X
1061|Samsung Galaxy E5
2611|LG G3 LTE-A
2909|LG L70
4175|Apple iPhone 5s 32GB
396|Nokia Lumia 520
4163|Apple iPhone 4 32GB
2336|Sony Xperia C4
3006|LG Optimus 4G LTE
4172|Apple iPhone 5c 16GB
2700|LG G Pro Lite
2366|Sony Xperia M5
3518|BlackBerry Q5
2497|LG Andro-1
2347|Sony Xperia E4g
1056|Samsung Galaxy Core Prime 4G
407|Nokia Lumia 635
1068|Samsung Galaxy E7 LTE
660|Motorola Moto E 4G
2411|Sony Xperia Z3 Dual SIM
1226|Samsung Galaxy S4 mini LTE
665|Motorola Moto G 4G
424|Nokia Lumia 925
661|Motorola Moto E Dual SIM
4047|Huawei P8 Lite
2583|LG F60
3219|HTC Desire 526G
4169|Apple iPhone 5 16GB
3928|Huawei Ascend Mate 7
404|Nokia Lumia 625
3488|BlackBerry 9320 Curve
1031|Samsung Galaxy Ace Style
